id;street_address;postal_code;city;state_province
1;waltz;aged reluctantly milestone;Darrinborough;everlasting cosset
2;unzip;delectable;Reno;colossal
3;as if those;broadside;Jenkinsmouth;now cloudy anxiously
4;reservation deeply boulevard;lest hm stealthily;Reynoldshaven;geez before cauliflower
5;airbus;majestically ham harvest;Fort Destineeland;bleakly enraged for
6;if arid;irk;South Clarecester;gee hence sadly
7;volunteer outfox;than well-groomed;Lake Tristin;oof bright yieldingly
8;railway er;till;Fort Stefaniechester;defiantly productive
9;as;curiously why;MacGyverburgh;once aha
10;notwithstanding eek bonfire;ugh;Baileyfield;if
